 INFO  Accepting connections at http://localhost:3000
 HTTP  5/9/2026 6:16:55 AM ::1 GET /
 HTTP  5/9/2026 6:16:55 AM ::1 Returned 200 in 386 ms
 HTTP  5/9/2026 6:16:56 AM ::1 GET /app.js
 HTTP  5/9/2026 6:16:56 AM ::1 Returned 200 in 3 ms
 HTTP  5/9/2026 6:17:58 AM ::1 GET /
 HTTP  5/9/2026 6:17:58 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:17:58 AM ::1 GET /app.js
 HTTP  5/9/2026 6:17:58 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:18:20 AM ::1 GET /
 HTTP  5/9/2026 6:18:20 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:18:20 AM ::1 GET /app.js
 HTTP  5/9/2026 6:18:20 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:19:00 AM ::1 GET /
 HTTP  5/9/2026 6:19:00 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:19:00 AM ::1 GET /app.js
 HTTP  5/9/2026 6:19:00 AM ::1 Returned 200 in 2 ms
 HTTP  5/9/2026 6:27:26 AM ::1 GET /
 HTTP  5/9/2026 6:27:26 AM ::1 Returned 200 in 3 ms
 HTTP  5/9/2026 6:27:26 AM ::1 GET /dist/app.bundle.js
 HTTP  5/9/2026 6:27:26 AM ::1 Returned 200 in 7 ms
 HTTP  5/9/2026 6:27:50 AM ::1 GET /
 HTTP  5/9/2026 6:27:50 AM ::1 Returned 200 in 1 ms
 HTTP  5/9/2026 6:27:50 AM ::1 GET /dist/app.bundle.js
 HTTP  5/9/2026 6:27:50 AM ::1 Returned 200 in 1 ms
 HTTP  5/9/2026 6:28:26 AM ::1 GET /
 HTTP  5/9/2026 6:28:26 AM ::1 Returned 200 in 1 ms
 HTTP  5/9/2026 6:28:26 AM ::1 GET /dist/app.bundle.js
 HTTP  5/9/2026 6:28:26 AM ::1 Returned 200 in 6 ms
